"Date.Time","Lat","Lon","Base","Year","Month","Day","Weekday","Hour","Minute","Second"
"2014-04-01 06:43:00",40.793,-73.9749,"B02512",2014,4,1,3,6,43,0
"2014-04-01 06:44:00",40.7231,-73.9442,"B02512",2014,4,1,3,6,44,0
"2014-04-01 06:45:00",40.7874,-73.9545,"B02512",2014,4,1,3,6,45,0
"2014-04-01 06:47:00",40.7689,-73.9812,"B02512",2014,4,1,3,6,47,0
"2014-04-01 06:47:00",40.7789,-73.9557,"B02512",2014,4,1,3,6,47,0
"2014-04-01 06:48:00",40.7271,-74.0054,"B02512",2014,4,1,3,6,48,0
"2014-04-01 06:52:00",40.7877,-73.973,"B02512",2014,4,1,3,6,52,0
"2014-04-01 06:52:00",40.7255,-74.0092,"B02512",2014,4,1,3,6,52,0
"2014-04-01 06:54:00",40.7653,-73.9723,"B02512",2014,4,1,3,6,54,0
"2014-04-01 06:56:00",40.7644,-73.9769,"B02512",2014,4,1,3,6,56,0
"2014-04-01 06:57:00",40.7726,-73.9532,"B02512",2014,4,1,3,6,57,0
"2014-04-01 06:59:00",40.7898,-73.9661,"B02512",2014,4,1,3,6,59,0
"2014-04-01 07:00:00",40.7839,-73.9703,"B02512",2014,4,1,3,7,0,0
"2014-04-01 07:00:00",40.7236,-74.0016,"B02512",2014,4,1,3,7,0,0
"2014-04-01 07:00:00",40.699,-73.9951,"B02512",2014,4,1,3,7,0,0
"2014-04-01 07:00:00",40.7581,-73.9219,"B02512",2014,4,1,3,7,0,0
"2014-04-01 07:01:00",40.768,-73.9191,"B02512",2014,4,1,3,7,1,0
"2014-04-01 07:02:00",40.7677,-73.9897,"B02512",2014,4,1,3,7,2,0
"2014-04-01 07:02:00",40.771,-73.866,"B02512",2014,4,1,3,7,2,0
"2014-04-01 07:03:00",40.7808,-73.9487,"B02512",2014,4,1,3,7,3,0
"2014-04-01 07:06:00",40.7147,-74.0362,"B02512",2014,4,1,3,7,6,0
"2014-04-01 07:07:00",40.7732,-73.9504,"B02512",2014,4,1,3,7,7,0
"2014-04-01 07:08:00",40.7335,-74.0043,"B02512",2014,4,1,3,7,8,0
"2014-04-01 07:08:00",40.7754,-73.9782,"B02512",2014,4,1,3,7,8,0
"2014-04-01 07:09:00",40.7752,-73.9455,"B02512",2014,4,1,3,7,9,0
"2014-04-01 07:09:00",40.7243,-74.0021,"B02512",2014,4,1,3,7,9,0
